CALL_ID,ACCOUNT_NUMBER,CALL_DATE,CALL_DIRECTION,CALL_REASON,RELATED_COMPLAINT_ID,OUTCOME,AGENT_TEAM,CALL_DURATION_MINS
1,6000031170,2024-07-30,Inbound,Service - General,38897.0,Escalated to Complaint,Customer Service,18
2,6000024398,2024-07-30,Inbound,Service - General,21605.0,Escalated to Complaint,Customer Service,17
3,6000028379,2024-07-30,Inbound,Service - General,24918.0,Escalated to Complaint,Customer Service,4
4,6000009498,2024-07-30,Inbound,Payment / Direct Debit,30483.0,Escalated to Complaint,Collections,7
5,6000037525,2024-07-30,Inbound,Service - General,4186.0,Escalated to Complaint,Customer Service,23
6,6000042485,2024-07-30,Inbound,Service - General,27810.0,Escalated to Complaint,Customer Service,20
7,6000009432,2024-07-30,Inbound,Billing - Estimated Read,47933.0,Escalated to Complaint,Billing,13
8,6000049569,2024-07-30,Inbound,Service - General,6457.0,Escalated to Complaint,Customer Service,6
9,6000023827,2024-07-30,Inbound,Service - General,18097.0,Escalated to Complaint,Customer Service,12
10,6000019847,2024-07-30,Inbound,Service - General,42876.0,Escalated to Complaint,Customer Service,12
11,6000021579,2024-07-31,Inbound,Billing - Estimated Read,5954.0,Escalated to Complaint,Billing,12
12,6000035351,2024-07-31,Inbound,Service - General,35278.0,Escalated to Complaint,Customer Service,4
13,6000029073,2024-07-31,Inbound,Payment / Direct Debit,32919.0,Escalated to Complaint,Collections,16
14,6000047862,2024-07-31,Inbound,Payment / Direct Debit,12507.0,Escalated to Complaint,Collections,8
15,6000036003,2024-07-31,Inbound,Service - General,38320.0,Escalated to Complaint,Customer Service,19
16,6000040574,2024-07-31,Inbound,Service - General,42318.0,Escalated to Complaint,Customer Service,17
17,6000016739,2024-07-31,Inbound,Billing - Estimated Read,14520.0,Escalated to Complaint,Billing,11
18,6000049877,2024-07-31,Inbound,Service - General,36720.0,Escalated to Complaint,Customer Service,23
19,6000016004,2024-07-31,Inbound,Service - General,41999.0,Escalated to Complaint,Customer Service,24
20,6000027606,2024-07-31,Inbound,Service - General,19590.0,Escalated to Complaint,Customer Service,10
21,6000047286,2024-07-31,Inbound,Service - General,43313.0,Escalated to Complaint,Customer Service,8
22,6000045134,2024-07-31,Inbound,Payment / Direct Debit,44461.0,Escalated to Complaint,Collections,15
23,6000019534,2024-07-31,Inbound,Billing - Estimated Read,18770.0,Escalated to Complaint,Billing,12
24,6000049313,2024-07-31,Inbound,Billing - Estimated Read,9288.0,Escalated to Complaint,Billing,23
25,6000003539,2024-07-31,Inbound,Service - General,37594.0,Escalated to Complaint,Customer Service,8
26,6000006392,2024-07-31,Inbound,Billing - Estimated Read,36755.0,Escalated to Complaint,Billing,22
27,6000048441,2024-07-31,Inbound,Service - General,33842.0,Escalated to Complaint,Customer Service,8
28,6000025958,2024-07-31,Inbound,Billing - Estimated Read,44166.0,Escalated to Complaint,Billing,8
