CONTRACT_ID,ACCOUNT_NUMBER,MPXN,FUEL_TYPE,TARIFF_NAME,CONTRACT_TYPE,CONTRACT_START_DATE,CONTRACT_END_DATE,RENEWAL_NUMBER,DAYS_TO_EXPIRY_AT_ASOF,EXIT_FEE_APPLICABLE,ACQUISITION_CHANNEL,STATUS
6000001497-E-3,6000001497,3736319212583,Electricity,EcoVariable,Fixed 12M,2026-02-17,2027-02-12,3,191,False,Web,Active
6000004560-E-3,6000004560,3953103979917,Electricity,StandardVariable,Fixed 12M,2025-10-20,2026-10-15,3,71,True,Price Comparison Site,Active
6000000904-E-2,6000000904,3879752502932,Electricity,FixSecure 24,Fixed 24M,2025-09-12,2027-09-02,2,393,False,Web,Active
6000012085-E-1,6000012085,4558829930480,Electricity,FixSecure 24,Fixed 12M,2025-11-16,2026-11-11,1,98,True,Price Comparison Site,Ended
6000007582-E-1,6000007582,2364629529217,Electricity,DualSaver 18,Standard Variable,2026-08-05,9999-12-31,1,99999,False,Broker,Ended
6000023851-E-4,6000023851,4511482910912,Electricity,StandardVariable,Fixed 12M,2026-07-24,2027-07-19,4,348,True,Web,Active
6000020508-E-1,6000020508,1007317218971,Electricity,DualSaver 18,Fixed 24M,2026-01-28,2028-01-18,1,531,True,Renewal Auto,Active
6000018338-E-4,6000018338,2618263179830,Electricity,GreenFix 12,Fixed 12M,2026-05-27,2027-05-22,4,290,False,Telesales,Active
6000007229-E-2,6000007229,1535883161160,Electricity,GreenFix 12,Fixed 24M,2026-05-29,2028-05-18,2,652,False,Renewal Auto,Active
6000009751-E-4,6000009751,4062260109554,Electricity,EcoVariable,Fixed 12M,2026-05-29,2027-05-24,4,292,True,In-Store,Active
6000007889-E-3,6000007889,2308988788887,Electricity,DualSaver 18,Fixed 12M,2026-03-09,2027-03-04,3,211,True,In-Store,Active
6000002222-E-2,6000002222,9562825849673,Electricity,FixSecure 12,Fixed 12M,2025-08-28,2026-08-23,2,18,False,In-Store,Active
6000006719-E-4,6000006719,6917934362789,Electricity,FixSecure 12,Fixed 12M,2026-06-23,2027-06-18,4,317,False,Renewal Auto,Active
6000010289-E-1,6000010289,5453068856836,Electricity,PriceCapTracker,Fixed 24M,2025-10-02,2027-09-22,1,413,False,Price Comparison Site,Active
6000003244-E-4,6000003244,9640820217128,Electricity,FixSecure 12,Fixed 12M,2026-06-10,2027-06-05,4,304,True,Broker,Active
6000005146-E-1,6000005146,2882345039492,Electricity,FixSecure 24,Standard Variable,2026-08-05,9999-12-31,1,99999,False,Renewal Auto,Ended
6000004009-E-1,6000004009,3821703099920,Electricity,EcoVariable,Standard Variable,2026-08-05,9999-12-31,1,99999,False,Web,Ended
6000020756-E-1,6000020756,3035218479768,Electricity,StandardVariable,Fixed 12M,2026-07-19,2027-07-14,1,343,True,Price Comparison Site,Active
6000024869-E-1,6000024869,1707362997794,Electricity,PriceCapTracker,Fixed 12M,2026-03-23,2027-03-18,1,225,False,In-Store,Active
6000022032-E-2,6000022032,3147155843724,Electricity,FixSecure 12,Fixed 24M,2026-05-19,2028-05-08,2,642,False,Price Comparison Site,Active
6000003851-E-1,6000003851,4261060183327,Electricity,FixSecure 24,Fixed 24M,2025-12-24,2027-12-14,1,496,True,Renewal Auto,Ended
6000015741-E-1,6000015741,2203038452514,Electricity,FixSecure 24,Fixed 12M,2025-10-30,2026-10-25,1,81,True,Price Comparison Site,Active
6000014120-E-4,6000014120,3904640205060,Electricity,EcoVariable,Fixed 12M,2025-11-15,2026-11-10,4,97,True,Web,Active
6000015277-E-2,6000015277,9206649157426,Electricity,EcoVariable,Fixed 12M,2026-07-19,2027-07-14,2,343,True,Web,Ended
6000000439-E-1,6000000439,3902911116879,Electricity,FixSecure 24,Fixed 24M,2025-04-22,2027-04-12,1,250,False,Price Comparison Site,Ended
6000000897-E-1,6000000897,6348497701647,Electricity,FixSecure 24,Fixed 24M,2025-04-06,2027-03-27,1,234,True,Price Comparison Site,Active
6000006339-E-1,6000006339,6669397961480,Electricity,DualSaver 18,Fixed 24M,2024-12-22,2026-12-12,1,129,True,Price Comparison Site,Active
6000007106-E-2,6000007106,6928648552292,Electricity,StandardVariable,Fixed 24M,2025-09-10,2027-08-31,2,391,True,Price Comparison Site,Active
6000020340-E-1,6000020340,7451083620494,Electricity,PriceCapTracker,Standard Variable,2026-08-05,9999-12-31,1,99999,False,Price Comparison Site,Active
6000019280-E-1,6000019280,5971647092918,Electricity,StandardVariable,Standard Variable,2026-08-05,9999-12-31,1,99999,False,Broker,Active
6000018389-E-1,6000018389,3065154051485,Electricity,DualSaver 18,Fixed 12M,2026-01-12,2027-01-07,1,155,True,In-Store,Active
6000022918-E-3,6000022918,2738133423304,Electricity,GreenFix 12,Fixed 12M,2025-12-18,2026-12-13,3,130,True,Web,Active
6000000186-E-1,6000000186,9807244334633,Electricity,StandardVariable,Standard Variable,2026-08-05,9999-12-31,1,99999,False,Web,Ended
6000019917-E-4,6000019917,6506743540078,Electricity,DualSaver 18,Fixed 12M,2026-02-08,2027-02-03,4,182,True,Web,Active
6000002735-E-1,6000002735,4662365617910,Electricity,PriceCapTracker,Standard Variable,2026-08-05,9999-12-31,1,99999,False,Web,Active
6000018762-E-1,6000018762,9008983105661,Electricity,EcoVariable,Fixed 24M,2024-09-06,2026-08-27,1,22,True,Price Comparison Site,Active
6000024689-E-2,6000024689,2282921476921,Electricity,EcoVariable,Fixed 12M,2026-07-01,2027-06-26,2,325,True,Web,Active
6000014181-E-4,6000014181,7274657814816,Electricity,FixSecure 12,Fixed 12M,2025-11-26,2026-11-21,4,108,True,Price Comparison Site,Ended
6000018245-E-1,6000018245,7381365748329,Electricity,DualSaver 18,Fixed 24M,2025-04-21,2027-04-11,1,249,False,Web,Active
6000007139-E-2,6000007139,4129815432728,Electricity,PriceCapTracker,Fixed 24M,2024-08-29,2026-08-19,2,14,True,Price Comparison Site,Ended
6000015940-E-1,6000015940,1007562969585,Electricity,PriceCapTracker,Standard Variable,2026-08-05,9999-12-31,1,99999,False,Renewal Auto,Ended
6000015864-E-1,6000015864,5551758782342,Electricity,FixSecure 24,Fixed 24M,2024-10-23,2026-10-13,1,69,True,Price Comparison Site,Active
6000016014-E-1,6000016014,5335930803838,Electricity,GreenFix 12,Fixed 24M,2025-02-18,2027-02-08,1,187,True,Price Comparison Site,Active
6000008149-E-2,6000008149,8882235423182,Electricity,FixSecure 24,Fixed 12M,2026-05-24,2027-05-19,2,287,False,Renewal Auto,Active
6000003561-E-1,6000003561,3691983007122,Electricity,EcoVariable,Fixed 24M,2025-12-16,2027-12-06,1,488,False,Broker,Ended
6000015727-E-1,6000015727,9714612987860,Electricity,FixSecure 12,Fixed 24M,2025-03-15,2027-03-05,1,212,True,Web,Active
6000009034-E-1,6000009034,9120917502689,Electricity,PriceCapTracker,Fixed 24M,2024-09-30,2026-09-20,1,46,True,Renewal Auto,Active
6000019126-E-1,6000019126,7795863409391,Electricity,StandardVariable,Fixed 12M,2025-10-17,2026-10-12,1,68,True,Price Comparison Site,Ended
6000021471-E-2,6000021471,4170474334093,Electricity,PriceCapTracker,Fixed 24M,2025-03-12,2027-03-02,2,209,True,Web,Ended
6000002726-E-1,6000002726,3323906230232,Electricity,DualSaver 18,Fixed 12M,2026-03-05,2027-02-28,1,207,True,Renewal Auto,Ended
6000009756-E-1,6000009756,5944626958236,Electricity,FixSecure 12,Standard Variable,2026-08-05,9999-12-31,1,99999,False,Broker,Active
6000019615-E-1,6000019615,3740014603121,Electricity,StandardVariable,Standard Variable,2026-08-05,9999-12-31,1,99999,False,Renewal Auto,Active
6000011612-E-4,6000011612,6348367448656,Electricity,FixSecure 24,Fixed 12M,2026-06-29,2027-06-24,4,323,False,Price Comparison Site,Ended
6000019395-E-2,6000019395,7662440985314,Electricity,FixSecure 24,Fixed 24M,2025-04-11,2027-04-01,2,239,False,Renewal Auto,Active
6000014551-E-4,6000014551,2819454583404,Electricity,StandardVariable,Fixed 12M,2025-12-07,2026-12-02,4,119,False,Web,Active
6000015142-E-2,6000015142,7589234154994,Electricity,FixSecure 12,Fixed 24M,2025-02-07,2027-01-28,2,176,True,Renewal Auto,Active
6000017442-E-1,6000017442,6778640715843,Electricity,GreenFix 12,Fixed 24M,2025-11-06,2027-10-27,1,448,True,Renewal Auto,Active
6000008847-E-4,6000008847,4614102520513,Electricity,PriceCapTracker,Fixed 12M,2025-10-16,2026-10-11,4,67,False,Price Comparison Site,Active
6000017348-E-1,6000017348,5834953874256,Electricity,EcoVariable,Fixed 24M,2024-08-21,2026-08-11,1,6,True,In-Store,Active
6000020423-E-3,6000020423,9208673619623,Electricity,GreenFix 12,Fixed 12M,2026-01-06,2027-01-01,3,149,True,Renewal Auto,Active
6000016470-E-3,6000016470,1493641268663,Electricity,PriceCapTracker,Fixed 12M,2025-08-17,2026-08-12,3,7,False,Price Comparison Site,Ended
6000023876-E-1,6000023876,1840112804650,Electricity,FixSecure 12,Fixed 24M,2025-08-11,2027-08-01,1,361,False,Renewal Auto,Ended
6000005011-E-1,6000005011,1737332195525,Electricity,EcoVariable,Standard Variable,2026-08-05,9999-12-31,1,99999,False,Price Comparison Site,Ended
