ACCOUNT_NUMBER,MPXN,FUEL_TYPE,METER_SERIAL_NUMBER,METER_TYPE,METER_STATUS,EFFECTIVE_FROM,EFFECTIVE_TO,IS_CURRENT
6000041505,1563710723217,Electricity,MTR79476555,Traditional,Active,2024-06-17,2025-10-16,False
6000041505,1563710723217,Electricity,MTR79476555,Smart,Active,2025-10-16,9999-12-31,True
6000009847,1625952422121,Electricity,MTR73914374,Traditional,Active,2023-05-27,2026-05-08,False
6000009847,1625952422121,Electricity,MTR73914374,Smart,Active,2026-05-08,9999-12-31,True
6000048217,6411437407118,Electricity,MTR19596280,Traditional,Active,2024-12-07,2025-02-01,False
6000048217,6411437407118,Electricity,MTR19596280,Smart,Active,2025-02-01,9999-12-31,True
6000009005,3300096582690,Electricity,MTR16462041,Smart,Active,2025-07-19,9999-12-31,True
6000048668,9352228813832,Electricity,MTR26587421,Smart,Active,2023-08-04,9999-12-31,True
6000004837,6802634963118,Electricity,MTR38739483,Smart,Active,2026-04-20,9999-12-31,True
6000016848,5824357724839,Electricity,MTR97577826,Smart,Active,2022-11-23,9999-12-31,True
6000015420,8246115452086,Electricity,MTR70371911,Smart,Active,2026-03-27,9999-12-31,True
6000042401,6581830923099,Electricity,MTR94347060,Traditional,Active,2025-08-16,2025-09-28,False
6000042401,6581830923099,Electricity,MTR94347060,Smart,Active,2025-09-28,9999-12-31,True
6000005686,1856959240294,Electricity,MTR26838337,Traditional,Active,2025-08-17,2026-02-26,False
6000005686,1856959240294,Electricity,MTR26838337,Smart,Active,2026-02-26,9999-12-31,True
6000011916,8471701419380,Electricity,MTR90748625,Traditional,Active,2022-12-31,9999-12-31,True
6000049908,5510900829028,Electricity,MTR75675924,Traditional,Active,2023-02-03,2025-12-22,False
6000049908,5510900829028,Electricity,MTR75675924,Smart,Active,2025-12-22,9999-12-31,True
6000019344,4664910818618,Electricity,MTR92603116,Smart,Active,2025-09-08,9999-12-31,True
6000010378,3797168412733,Electricity,MTR54887814,Smart,Active,2026-03-23,9999-12-31,True
6000047041,5578954942847,Electricity,MTR71888371,Traditional,Active,2023-08-13,9999-12-31,True
6000022989,4112170621513,Electricity,MTR59984421,Traditional,Active,2023-04-17,9999-12-31,True
6000037131,4363217756784,Electricity,MTR13953304,Traditional,Active,2023-06-15,9999-12-31,True
6000035231,8826462989786,Electricity,MTR57870763,Smart,Active,2026-05-02,9999-12-31,True
6000007634,4075472614323,Electricity,MTR38210628,Smart,Active,2023-07-07,9999-12-31,True
6000020213,9203071431950,Electricity,MTR90517907,Traditional,Active,2025-05-24,9999-12-31,True
6000008682,5919419918847,Electricity,MTR98432304,Smart,Active,2024-08-06,9999-12-31,True
6000003433,9252542373848,Electricity,MTR36071570,Smart,Active,2024-03-22,9999-12-31,True
6000003915,7178340614269,Electricity,MTR58697842,Smart,Active,2024-08-02,9999-12-31,True
6000020475,4835952252256,Electricity,MTR62811011,Smart,Active,2026-02-04,9999-12-31,True
6000013959,3688788465608,Electricity,MTR85618872,Smart,Active,2025-05-25,9999-12-31,True
6000022808,4095912727678,Electricity,MTR21047851,Smart,Active,2025-11-29,9999-12-31,True
6000019218,8986117496102,Electricity,MTR87651613,Smart,Active,2024-08-25,9999-12-31,True
6000049757,9545665266931,Electricity,MTR83769462,Traditional,Active,2024-05-14,9999-12-31,True
6000008884,2324051103999,Electricity,MTR92822832,Traditional,Active,2024-07-25,9999-12-31,True
6000036221,6628022497467,Electricity,MTR72517627,Traditional,Active,2025-01-10,9999-12-31,True
